group,name,syllable,heading_mean,heading_std,heading_min,heading_max,angular_velocity_mean,angular_velocity_std,angular_velocity_min,angular_velocity_max,velocity_px_s_mean,velocity_px_s_std,velocity_px_s_min,velocity_px_s_max,frequency,duration,abs_number
Control_12-14,2022-09-02_12-10-19_mito_park_12-14_weeks_1013_results_00DLC_resnet50_MoSeqKinectMay13shuffle2_1000001_filtered,17,-0.847383476,0.280432764,-1.414856218,-0.263261829,-0.121086093,0.926749734,-1.982982479,2.847104361,32.1958744,22.39237256,2.195227257,152.0036342,0.005798629,0.903030303,11
Control_12-14,2022-09-02_12-10-19_mito_park_12-14_weeks_1013_results_00DLC_resnet50_MoSeqKinectMay13shuffle2_1000001_filtered,18,0.872421691,1.687282446,-3.116336281,3.116620255,0.11187352,0.806636096,-1.194944454,9.624236971,19.56054709,10.41411752,0.88249065,61.51380899,0.004217185,0.6875,8
Control_12-14,2022-09-02_12-10-19_mito_park_12-14_weeks_1013_results_00DLC_resnet50_MoSeqKinectMay13shuffle2_1000001_filtered,19,1.558810712,1.82982691,-1.432401784,3.097560655,-10.66162339,42.53099762,-154.3620472,31.49556424,45.18921245,30.38646115,11.99942845,128.6683532,0.002108593,0.116666667,4
Control_12-14,2022-09-02_12-10-19_mito_park_12-14_weeks_1013_results_00DLC_resnet50_MoSeqKinectMay13shuffle2_1000001_filtered,20,-0.019542777,0.255520777,-0.739694311,0.516876697,-1.238607649,1.517810184,-7.44050498,1.46330172,85.68272084,43.37612112,4.444629868,176.4303978,0.003162889,0.533333333,6
Control_12-14,2022-09-02_12-10-19_mito_park_12-14_weeks_1013_results_00DLC_resnet50_MoSeqKinectMay13shuffle2_1000001_filtered,21,-0.479030523,2.784409418,-3.137501665,3.134765314,-0.30816819,28.50056194,-188.2235322,187.9923177,95.31570715,55.44717389,4.621162063,259.5348053,0.002635741,1.733333333,5
Control_12-14,2022-09-02_14-28-12_mito_park_12-14_weeks_1016_results_00DLC_resnet50_MoSeqKinectMay13shuffle2_1000001_filtered,0,0.142345348,1.734426108,-3.141529887,3.14073734,0.003019928,10.59301756,-188.4658424,188.3770633,35.52990281,35.95721625,0.044771596,285.6051848,0.261394838,0.571988796,476
Control_12-14,2022-09-02_14-28-12_mito_park_12-14_weeks_1016_results_00DLC_resnet50_MoSeqKinectMay13shuffle2_1000001_filtered,1,-0.207691603,1.707848066,-3.138335209,3.138251731,0.08756916,13.23959183,-188.2060934,188.1298346,57.57994047,43.9316388,0.246695077,285.0967109,0.175178473,0.546499478,319
Control_12-14,2022-09-02_14-28-12_mito_park_12-14_weeks_1016_results_00DLC_resnet50_MoSeqKinectMay13shuffle2_1000001_filtered,2,0.140091694,1.695042684,-3.138772586,3.138849933,0.286098161,16.08173467,-187.824625,187.7646889,52.0149267,40.11019345,0.50688919,291.5720429,0.137836354,0.491633466,251
Control_12-14,2022-09-02_14-28-12_mito_park_12-14_weeks_1016_results_00DLC_resnet50_MoSeqKinectMay13shuffle2_1000001_filtered,3,0.45738509,1.691768082,-3.141338645,3.141404224,-0.028235237,12.6811798,-188.216177,187.9919354,38.08922768,31.74280645,0.489006117,225.2026536,0.126304228,0.63115942,230
Control_12-14,2022-09-02_14-28-12_mito_park_12-14_weeks_1016_results_00DLC_resnet50_MoSeqKinectMay13shuffle2_1000001_filtered,4,0.674827041,1.652993457,-3.123822534,2.947379889,-1.245165212,12.92413797,-186.8396227,8.924320949,25.16137878,14.78142974,0,85.33681087,0.016474465,0.241111111,30
Control_12-14,2022-09-02_14-28-12_mito_park_12-14_weeks_1016_results_00DLC_resnet50_MoSeqKinectMay13shuffle2_1000001_filtered,5,-0.374449696,2.075425047,-3.139761392,3.133845985,-0.515027612,15.98273674,-188.2370041,187.6550052,75.29683615,51.56047321,0.843143699,248.6365754,0.05601318,0.719281046,102
Control_12-14,2022-09-02_14-28-12_mito_park_12-14_weeks_1016_results_00DLC_resnet50_MoSeqKinectMay13shuffle2_1000001_filtered,6,0.208425787,1.757003434,-3.135565405,3.131486101,-0.289672057,20.13077753,-8.495007404,187.8011054,70.23646206,43.39192239,0.93678424,225.7055769,0.04173531,0.498684211,76
Control_12-14,2022-09-02_14-28-12_mito_park_12-14_weeks_1016_results_00DLC_resnet50_MoSeqKinectMay13shuffle2_1000001_filtered,7,0.31408924,1.706291095,-3.132480728,3.138418708,0.409782525,17.27206768,-6.414661014,186.775586,42.95817809,30.13305112,1.837585023,180.1487399,0.023613399,0.639534884,43
Control_12-14,2022-09-02_14-28-12_mito_park_12-14_weeks_1016_results_00DLC_resnet50_MoSeqKinectMay13shuffle2_1000001_filtered,8,0.272860466,1.350073142,-2.458995387,2.868295337,8.581784548,52.36444472,-107.6043224,180.4206048,62.9575838,40.95021626,6.195577179,153.8067262,0.00933553,0.080392157,17
Control_12-14,2022-09-02_14-28-12_mito_park_12-14_weeks_1016_results_00DLC_resnet50_MoSeqKinectMay13shuffle2_1000001_filtered,9,-0.049916963,2.026306224,-3.135798459,3.133546263,-0.05708054,9.484257526,-188.0303118,187.5968896,23.01728096,21.06147664,0.585161073,185.7435545,0.00933553,3.070588235,17
Control_12-14,2022-09-02_14-28-12_mito_park_12-14_weeks_1016_results_00DLC_resnet50_MoSeqKinectMay13shuffle2_1000001_filtered,10,0.41669457,1.340919708,-3.086005464,2.950520373,-1.175171436,16.32636948,-148.3513272,61.06257332,43.07645431,31.57013813,3.082638439,181.5560073,0.009884679,0.287037037,18
Control_12-14,2022-09-02_14-28-12_mito_park_12-14_weeks_1016_results_00DLC_resnet50_MoSeqKinectMay13shuffle2_1000001_filtered,11,-0.343137187,1.61631286,-3.124825475,3.06988281,-0.325956905,8.113196858,-187.2354717,2.639585258,65.99147173,56.21603136,1.512310116,246.7044159,0.015925316,1.231034483,29
Control_12-14,2022-09-02_14-28-12_mito_park_12-14_weeks_1016_results_00DLC_resnet50_MoSeqKinectMay13shuffle2_1000001_filtered,12,-0.529104878,1.6504395,-1.762469128,1.59425423,-0.717295037,0.333382732,-1.111671678,-0.364706984,32.90494666,4.517784284,26.90017406,40.55691845,0.001098298,0.1,2
Control_12-14,2022-09-02_14-28-12_mito_park_12-14_weeks_1016_results_00DLC_resnet50_MoSeqKinectMay13shuffle2_1000001_filtered,13,1.030363273,1.09479242,-3.077270362,3.108735331,-0.731271043,9.750377009,-187.861801,4.562116275,53.8641109,37.05587171,0.426716951,192.6327358,0.011532125,0.6,21
Control_12-14,2022-09-02_14-28-12_mito_park_12-14_weeks_1016_results_00DLC_resnet50_MoSeqKinectMay13shuffle2_1000001_filtered,14,0.043430555,0.657963547,-2.295682704,2.71868042,0.150963064,1.171183176,-4.779584414,7.202294172,95.76718623,48.34051979,2.370130134,263.9714936,0.01867106,0.804901961,34
Control_12-14,2022-09-02_14-28-12_mito_park_12-14_weeks_1016_results_00DLC_resnet50_MoSeqKinectMay13shuffle2_1000001_filtered,15,0.728921223,1.057697551,-3.131178049,3.136203137,0.093055863,8.824707544,-187.8653543,186.718798,47.39070729,37.33598239,0.489952875,213.3120682,0.026908292,1.547619048,49
